job_title,job_level,location,base_salary_usd,bonus_usd,equity_value_usd,company_stage,offer_outcome,candidate_preference,notes
Software Engineer,L4,San Francisco,115000,12000,45000,Series A,Accepted,Remote Work,Candidate strongly preferred flexible hours.
Product Manager,L5,New York,140000,15000,30000,Public,Negotiated,Higher Base,Negotiated for a higher base salary.
Data Scientist,L6,Toronto,135000,10000,25000,Series B,Rejected,More Equity,Declined due to low equity offer.
UX Designer,L4,Seattle,95000,8000,20000,Seed,Accepted,Work-Life Balance,Very enthusiastic about design mission.
DevOps Engineer,L5,Austin,125000,10000,15000,Series C,Accepted,Career Growth,Asked about promotion paths.
Software Engineer,L6,Boston,170000,20000,40000,Public,Negotiated,Better Benefits,Requested enhanced health benefits.
QA Engineer,L4,Vancouver,85000,5000,10000,Series A,Accepted,Remote Work,Prefers 100% remote.
Data Engineer,Senior,San Francisco,190000,25000,60000,Series B,Accepted,More Equity,Equity was main motivator.
Site Reliability Engineer,L5,Seattle,130000,12000,35000,Series D,Rejected,Higher Base,Chose competitor with higher salary.
Product Designer,L6,New York,160000,15000,45000,Public,Accepted,Remote Work,Interested in hybrid schedule.
Technical Program Manager,Senior,Austin,155000,15000,30000,Series C,Negotiated,Career Growth,Negotiated title change.
Software Engineer,Staff,San Francisco,230000,30000,100000,Public,Accepted,More Equity,Equity grant was top priority.
Data Scientist,L5,Boston,125000,10000,20000,Series B,Accepted,Better Benefits,Asked for wellness stipend.
UX Designer,Senior,Vancouver,120000,10000,25000,Series A,Rejected,Remote Work,"Relocation required, declined."
DevOps Engineer,L6,Toronto,145000,10000,30000,Seed,Accepted,Higher Base,Competitive base sealed the deal.
Software Engineer,L5,Seattle,140000,15000,40000,Series D,Accepted,Career Growth,Impressed by leadership team.
QA Engineer,L4,Austin,90000,8000,15000,Series C,Negotiated,Better Benefits,Negotiated health coverage upgrade.
Data Engineer,Senior,New York,175000,20000,50000,Public,Accepted,Remote Work,Requested partial remote.
Site Reliability Engineer,Staff,San Francisco,250000,35000,120000,Series B,Rejected,More Equity,Wanted larger option grant.
Product Manager,L4,Boston,110000,10000,20000,Seed,Accepted,Career Growth,Strong alignment with roadmaps.
Technical Program Manager,L5,Vancouver,130000,12000,30000,Series A,Accepted,Remote Work,Fully remote requested.
Software Engineer,L6,Austin,155000,15000,50000,Series C,Accepted,Better Benefits,Healthcare package was key.
Data Scientist,Staff,New York,220000,30000,80000,Public,Negotiated,More Equity,Worked for a higher grant.
